Combination,Error X,Error Y,Error Z,Error  Rij,Error Rik,Error  Rjk,Error  Rkl,Error Range,Average Rxx
,-18.22140898,24.28848286,75.74445445,0.746234699,0.112042736,0.634191963,-0.069773002,81.60375313,0.3905606
13,0.03559073,-0.02566201,0.38200594,0.08157525,0.184310941,-0.102735691,-0.163552597,0.38451759,0.13304362
,0.11057769,-0.10355604,0.9959459,0.064278006,0.210102614,-0.145824607,-0.192785552,1.00740236,0.153247695
,0.20650659,-0.2139953,1.44378573,0.033016034,0.119909201,-0.086893167,-0.110838416,1.474095042,0.087664205
,0.29807923,-0.32201023,1.82012285,0.020002353,0.077421458,-0.057419106,-0.07190628,1.872268411,0.056687299
14,-16.72417326,16.4392126,-609.5662942,-139.6883483,-361.815912,222.1275637,353.2352803,610.0172233,269.2167761
,-63.52297171,63.93329731,-2222.956991,-156.4639814,-586.2117051,429.7477236,577.1930565,2224.783229,437.4041167
,-157.6579357,161.8738078,-5203.525342,-138.3224231,-464.6018874,326.2794643,456.6958952,5208.42924,346.4749175
,-379.305173,395.7117003,-11845.50229,-176.1296859,-446.7991852,270.6694993,436.8383617,11858.17796,332.609183
15,-28.19606249,5.68669901,-639.6864279,-139.8142044,-362.2545705,222.4403661,315.2429019,640.3327904,259.9380107
,-110.0740881,45.43686344,-2380.745243,-157.0077136,-588.501924,431.4942103,531.0904939,2383.721613,427.0235855
,-311.3510087,170.7656334,-5914.186432,-141.386461,-475.1629167,333.7764557,422.0296441,5924.837677,343.0888694
,-853.2929951,547.7711297,-14370.18174,-189.8368165,-481.9240476,292.0872311,410.0474127,14405.91148,343.473877
16,-24.61763021,2.79384987,-836.5566086,-186.452066,-458.4290895,271.9770235,451.5337348,836.9234091,342.0979784
,-223.2457974,63.97221835,-6978.486484,-481.5912077,-1023.395909,541.8047012,1004.382233,6982.349514,762.7935126
,343.8077445,-159.1453181,8929.461915,167.584113,-514.7767925,682.3609055,521.5779079,8937.495236,471.5749297
,247.4428599,-157.7440941,5021.425271,45.55375057,-477.4895689,523.0433195,479.3350217,5029.992338,381.3554152
17,1.60932309,-1.61678349,53.11325702,12.17522653,17.04509826,-4.869871727,-16.29277709,53.16222325,12.5957434
,5.9235399,-6.31857458,160.5346495,11.12537112,15.17792032,-4.052549205,-14.53481763,160.7681137,11.22266457
,10.55387466,-11.70133072,240.6033293,5.947892802,7.686346559,-1.738453757,-7.345816,241.118783,5.679627279
,14.97524161,-16.98117268,301.7740405,3.672257863,4.604186916,-0.931929053,-4.396165808,302.6221895,3.40113491
18,-0.15351759,1.37933769,53.21306823,12.17454948,17.04431656,-4.869767084,-12.93365515,53.23116353,11.75557207
,-4.0020202,9.14064529,164.4163253,11.12232998,15.17393029,-4.051600304,-11.0989196,164.7188379,10.36169504
,-12.15351908,22.41900391,268.4258381,5.93947468,7.675537035,-1.736062354,-5.440721689,269.6344754,5.197948939
,-23.10055074,39.32077403,369.9119026,3.657239213,4.585393044,-0.928153831,-3.198805964,372.7124554,3.092398013
19,7.8800383,-12.27443464,52.7604148,12.17763426,17.0478777,-4.87024344,10.45035133,54.73954804,11.13652668
,23.25874508,-33.31827963,153.7639848,11.13068193,15.18488787,-4.054205946,21.17930676,159.0422586,12.88727063
,39.17261625,-54.70300485,205.6052684,5.958491688,7.699955946,-1.741464258,13.93429303,216.3340912,7.333551231
,50.91604056,-70.12237259,237.6969477,3.686395165,4.621877514,-0.935482349,9.644064658,253.0008483,4.721954921
